0, 1684944103363461, 1684944103363693, 232
1, 1684944103377083, 1684944103377310, 227
2, 1684944103389802, 1684944103390037, 235
3, 1684944103402876, 1684944103403095, 219
4, 1684944103415439, 1684944103415658, 219
5, 1684944103428897, 1684944103429117, 220
6, 1684944103441593, 1684944103441808, 215
7, 1684944103454647, 1684944103454868, 221
8, 1684944103467210, 1684944103467422, 212
9, 1684944103480661, 1684944103480876, 215
10, 1684944103493347, 1684944103493560, 213
11, 1684944103506400, 1684944103506614, 214
12, 1684944103518949, 1684944103519165, 216
13, 1684944103532395, 1684944103532608, 213
14, 1684944103545077, 1684944103545291, 214
15, 1684944103558122, 1684944103558337, 215
16, 1684944103570675, 1684944103570888, 213
17, 1684944103584123, 1684944103584333, 210
18, 1684944103596808, 1684944103597019, 211
19, 1684944103609851, 1684944103610080, 229
20, 1684944103622411, 1684944103622622, 211
21, 1684944103635851, 1684944103636060, 209
22, 1684944103648530, 1684944103648740, 210
23, 1684944103661573, 1684944103661784, 211
24, 1684944103674113, 1684944103674324, 211
25, 1684944103687552, 1684944103687764, 212
26, 1684944103700229, 1684944103700441, 212
27, 1684944103713283, 1684944103713494, 211
28, 1684944103725831, 1684944103726057, 226
29, 1684944103739294, 1684944103739506, 212
30, 1684944103751979, 1684944103752189, 210
31, 1684944103765020, 1684944103765231, 211
32, 1684944103777572, 1684944103777781, 209
33, 1684944103791009, 1684944103791219, 210
34, 1684944103803694, 1684944103803837, 143
35, 1684944103816065, 1684944103816275, 210
36, 1684944103829504, 1684944103829713, 209
37, 1684944103842182, 1684944103842392, 210
38, 1684944103855227, 1684944103855435, 208
39, 1684944103867764, 1684944103867973, 209
40, 1684944103901141, 1684944103901350, 209
41, 1684944103913824, 1684944103914048, 224
42, 1684944103926874, 1684944103927084, 210
43, 1684944103939412, 1684944103939620, 208
44, 1684944103952844, 1684944103953052, 208
45, 1684944103965528, 1684944103965736, 208
46, 1684944103978564, 1684944103978773, 209
47, 1684944103991095, 1684944103991306, 211
48, 1684944104004542, 1684944104004750, 208
49, 1684944104017215, 1684944104017468, 253
50, 1684944104030328, 1684944104030473, 145
51, 1684944104042847, 1684944104042991, 144
52, 1684944104055853, 1684944104055997, 144
53, 1684944104068892, 1684944104069035, 143
54, 1684944104081405, 1684944104081549, 144
55, 1684944104094412, 1684944104094555, 143
56, 1684944104107445, 1684944104107588, 143
57, 1684944104119957, 1684944104120100, 143
58, 1684944104132953, 1684944104133098, 145
59, 1684944104145988, 1684944104146142, 154
60, 1684944104158514, 1684944104158656, 142
61, 1684944104171507, 1684944104171651, 144
62, 1684944104184543, 1684944104184686, 143
63, 1684944104197053, 1684944104197197, 144
64, 1684944104210033, 1684944104210179, 146
65, 1684944104222843, 1684944104222906, 63
66, 1684944104235850, 1684944104235913, 63
67, 1684944104248366, 1684944104248430, 64
68, 1684944104261360, 1684944104261424, 64
69, 1684944104274397, 1684944104274462, 65
70, 1684944104286907, 1684944104286972, 65
71, 1684944104299905, 1684944104299969, 64
72, 1684944104312943, 1684944104313007, 64
73, 1684944104325454, 1684944104325519, 65
74, 1684944104338451, 1684944104338516, 65
75, 1684944104351483, 1684944104351547, 64
76, 1684944104363994, 1684944104364058, 64
77, 1684944104376989, 1684944104377053, 64
78, 1684944104390028, 1684944104390092, 64
79, 1684944104402538, 1684944104402602, 64
80, 1684944104415535, 1684944104415599, 64
81, 1684944104428576, 1684944104428639, 63
82, 1684944104441090, 1684944104441154, 64
83, 1684944104473725, 1684944104473789, 64
84, 1684944104486777, 1684944104486841, 64
85, 1684944104499287, 1684944104499350, 63
86, 1684944104512283, 1684944104512347, 64
87, 1684944104525318, 1684944104525382, 64
88, 1684944104537832, 1684944104537896, 64
89, 1684944104550839, 1684944104550903, 64
90, 1684944104563868, 1684944104563932, 64
91, 1684944104576385, 1684944104576448, 63
92, 1684944104589389, 1684944104589452, 63
93, 1684944104602431, 1684944104602495, 64
94, 1684944104616756, 1684944104616821, 65
95, 1684944104631182, 1684944104631248, 66
96, 1684944104644583, 1684944104644647, 64
97, 1684944104657446, 1684944104657511, 65
98, 1684944104670778, 1684944104670843, 65
99, 1684944104683820, 1684944104683884, 64
100, 1684944104696858, 1684944104696924, 66
101, 1684944104709390, 1684944104709476, 86
102, 1684944104722446, 1684944104722510, 64
103, 1684944104735497, 1684944104735562, 65
104, 1684944104748030, 1684944104748094, 64
105, 1684944104761042, 1684944104761106, 64
106, 1684944104774095, 1684944104774158, 63
107, 1684944104786617, 1684944104786680, 63
108, 1684944104799630, 1684944104799694, 64
109, 1684944104812683, 1684944104812747, 64
